,loc,time,num
0,"25.024773,121.527724",Tue Nov 29 10:54:03 2022,7
1,"25.024777,121.527640",Tue Nov 29 10:54:58 2022,12
2,"25.024779,121.527867",Tue Nov 29 10:56:01 2022,7
3,"25.024788,121.527545",Tue Nov 29 10:45:54 2022,6
4,"25.024806,121.526967",Tue Nov 29 10:40:19 2022,5
5,"25.024807,121.527306",Tue Nov 29 10:45:06 2022,9
6,"25.024811,121.527217",Tue Nov 29 10:44:06 2022,8
7,"25.024815,121.528269",Tue Nov 29 10:57:33 2022,7
8,"25.024817,121.527128",Tue Nov 29 10:43:00 2022,5
9,"25.024826,121.527075",Tue Nov 29 10:41:57 2022,3
10,"25.025027,121.528300",Tue Nov 29 10:58:26 2022,5
11,"25.025510,121.528367",Tue Nov 29 11:02:31 2022,7
12,"25.025540,121.528370",Tue Nov 29 11:00:22 2022,5
13,"25.025735,121.528390",Tue Nov 29 11:03:50 2022,4
14,"25.025796,121.528394",Tue Nov 29 11:04:48 2022,6
15,"25.025924,121.528408",Tue Nov 29 11:06:05 2022,5
16,"25.026000,121.528410",Tue Nov 29 11:07:04 2022,6
17,"25.026060,121.528433",Tue Nov 29 11:09:25 2022,4
18,"25.026100,121.528439",Tue Nov 29 11:10:05 2022,4
19,"25.026158,121.528443",Tue Nov 29 11:10:51 2022,3
20,"25.026210,121.528449",Tue Nov 29 11:11:39 2022,5
21,"25.026316,121.528441",Tue Nov 29 11:12:23 2022,5
22,"25.026505,121.528335",Tue Nov 29 11:13:28 2022,0
23,"25.026516,121.528251",Tue Nov 29 11:14:12 2022,7
24,"25.026528,121.528061",Tue Nov 29 11:15:12 2022,4
25,"25.026539,121.527766",Tue Nov 29 11:16:44 2022,7
26,"25.026557,121.527496",Tue Nov 29 11:19:25 2022,10
27,"25.026573,121.527481",Tue Nov 29 11:18:44 2022,8
28,"25.026578,121.527128",Tue Nov 29 11:22:40 2022,7
29,"25.026590,121.527001",Tue Nov 29 11:24:17 2022,8
30,"25.026604,121.527088",Tue Nov 29 11:23:30 2022,8
31,"25.026606,121.526767",Tue Nov 29 11:27:14 2022,6
32,"25.026609,121.526669",Tue Nov 29 11:28:07 2022,9
33,"25.026620,121.526941",Tue Nov 29 11:25:06 2022,5
34,"25.026621,121.526886",Tue Nov 29 11:26:04 2022,8
35,"25.026633,121.526551",Tue Nov 29 11:28:57 2022,10
36,"25.026644,121.526416",Tue Nov 29 11:29:46 2022,7
37,"25.026657,121.526321",Tue Nov 29 11:31:09 2022,4
38,"25.026666,121.526235",Tue Nov 29 11:32:19 2022,0
39,"25.026673,121.526194",Tue Nov 29 11:33:04 2022,2
40,"25.026684,121.526073",Tue Nov 29 11:33:58 2022,3
